,Sport,League,Year,Prediction,Probability,Odd,Opponent_probability,Opponent_odd,Id_Match,Result
159,beisbol,usa/mlb/,2016,home,0.6153333333333333,2.2,0.2413333333333333,1.7100000000000002,2VXwUBAb,0.0
160,beisbol,usa/mlb/,2016,home,0.6621666666666667,1.42,0.4816666666666667,2.95,2VadxPsA,1.0
161,beisbol,usa/mlb/,2016,home,0.6191666666666666,1.43,0.35100000000000003,2.9,2XAZQzws,1.0
162,beisbol,usa/mlb/,2016,home,0.7781666666666667,1.62,0.17466666666666664,2.4,2XImOiZC,0.0
163,beisbol,usa/mlb/,2016,home,0.6788333333333333,1.54,0.41,2.65,2XlWqEft,1.0
164,beisbol,usa/mlb/,2016,home,0.7448333333333333,1.7400000000000002,0.3531666666666667,2.15,2ZDwiqRn,1.0
165,beisbol,usa/mlb/,2016,home,0.7281666666666666,1.62,0.3933333333333333,2.4,2aZDRPDo,1.0
166,beisbol,usa/mlb/,2016,home,0.6114999999999999,1.68,0.5458333333333333,2.25,2aoWN0PN,0.0
167,beisbol,usa/mlb/,2016,home,0.5016666666666667,1.57,0.3675,2.55,2cG3k7Z2,1.0
168,beisbol,usa/mlb/,2016,away,0.574,1.9,0.5335,1.9,2cGyHlIG,0.0
169,beisbol,usa/mlb/,2016,home,0.7115,0.0,0.43966666666666665,0.0,2e5VFa6C,1.0
170,beisbol,usa/mlb/,2016,home,0.6233333333333333,1.7599999999999998,0.3865,2.1,2g2JB8bR,0.0
171,beisbol,usa/mlb/,2016,away,0.5851666666666666,0.0,0.42983333333333335,0.0,2gnaqQfs,1.0
172,beisbol,usa/mlb/,2016,home,0.7288333333333333,0.0,0.4483333333333333,0.0,2i7vUyxB,1.0
173,beisbol,usa/mlb/,2016,home,0.6556666666666666,1.7999999999999998,0.3535,2.05,2i9Ek6KA,1.0
174,beisbol,usa/mlb/,2016,away,0.5455,2.0,0.4715,1.8300000000000003,2iJZHRmg,1.0
175,beisbol,usa/mlb/,2016,home,0.4513333333333334,1.47,0.439,2.75,2iZB37uG,0.0
176,beisbol,usa/mlb/,2016,away,0.5411666666666667,2.2,0.4893333333333333,1.7100000000000002,2ioTFLkl,0.0
177,beisbol,usa/mlb/,2016,away,0.5008333333333334,2.5,0.4556666666666666,1.58,2iuHMQIr,0.0
178,beisbol,usa/mlb/,2016,home,0.5600740740740741,1.7100000000000002,0.5499259259259259,2.2,2k6ZYydh,0.0
179,beisbol,usa/mlb/,2016,away,0.5368333333333333,2.55,0.3661666666666665,1.57,2kCMIh3A,1.0
180,beisbol,usa/mlb/,2016,home,0.6115,0.0,0.5751666666666666,0.0,2knTMNCh,0.0
181,beisbol,usa/mlb/,2016,home,0.536,1.7999999999999998,0.4865,2.05,2krLqvhK,1.0
182,beisbol,usa/mlb/,2016,home,0.4315,0.0,0.3368333333333333,0.0,2mHSCw2C,1.0
183,beisbol,usa/mlb/,2016,away,0.5675,2.45,0.39299999999999996,1.6,2mLVbPFE,0.0
184,beisbol,usa/mlb/,2016,away,0.5635,1.5,0.38433333333333336,2.7,2oGNHwMg,1.0
185,beisbol,usa/mlb/,2016,away,0.515,0.0,0.44816666666666666,0.0,2oQahCKS,1.0
186,beisbol,usa/mlb/,2016,home,0.6819999999999999,1.7999999999999998,0.25566666666666665,2.05,2ovvGKzd,1.0
187,beisbol,usa/mlb/,2016,home,0.5715,2.35,0.4946666666666667,1.64,2quVjOd3,1.0
188,beisbol,usa/mlb/,2016,home,0.5771666666666666,1.5199999999999998,0.5418333333333333,2.67,2qyzjCnj,1.0
189,beisbol,usa/mlb/,2016,home,0.5971666666666666,2.25,0.485,1.68,2sOuZemB,1.0
190,beisbol,usa/mlb/,2016,home,0.5948333333333333,1.57,0.5815,2.55,2sQd10iJ,1.0
191,beisbol,usa/mlb/,2016,home,0.586,1.7599999999999998,0.5198333333333334,2.1,2sjePwWa,1.0
192,beisbol,usa/mlb/,2016,home,0.6668333333333333,2.2,0.485,1.7100000000000002,2w0r8R3k,1.0
193,beisbol,usa/mlb/,2016,home,0.6096666666666667,1.7599999999999998,0.3371666666666667,2.1,2wMwH7UT,1.0
194,beisbol,usa/mlb/,2016,home,0.5713333333333334,2.05,0.4871666666666667,1.7999999999999998,2y3nVvwR,0.0
